species,taxonomic_class,common_name,max_longevity,mass_g,metabolic_rate_Wg,trophic_level,habitat,habitat_ecology,repo_type,parental_care,mobility,clutch_no,no_clutch_year,repo_size_g,fec_mat_ok,stage_skipped,fec_mat,refs,notes,,
Kinosternon_subrubrum,Reptilia,Eastern mud turtle,45.925,154.7,,carnivore,freshwater,benthic,oviparous,no,semiaquatic,3,1.1,4.09,yes,no,"Three aspects of fecundity were assessed in order to estimate mean per capita annual fecundity: mean clutch size (the average number of eggs in a clutch), mean clutch frequency (the average number of times a re- productively active female nested in a given season), and mean reproductive frequency (the average proportion of adult females that were reproductively active in a season).",Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,needs more checks on diet,,
Lagopus_leucura,Aves,White-tailed Ptarmigan,15,351,,herbivore,terrestrial,terrestrial,oviparous,yes,volant,6,1,20,,,matrix only 2,Myhrvold et al 2015; Handbook of birds of the world,,,
Lagopus_muta,Aves,Rock ptarmigan,6.083333333,521,,herbivore,terrestrial,terrestrial,oviparous,yes,volant,7,1,20,,,matrix only 2,Myhrvold et al 2015; Handbook of birds of the world,,,
Lontra_canadensis,Mammalia,North American River Otter,27,8087.42,,carnivore,freshwater,semiaquatic,viviparous,yes,semiaquatic,2.67,0.94,140,yes,no,pregnancy rate x mean number of offspring,Myhrvold et al 2015; Healy et al 2014,not sure about that semifossorial,,
Lycalopex_culpaeus,Mammalia,Culpeo,13.1,13000,,carnivore,terrestrial,terrestrial,viviparous,yes,terrestrial,4,1,167.99,yes,no,Culpeo fecundity rate was the product of the pro-portion of breeding females and the number of female pups produced per female although not very clear in the matrix itself,Myhrvold et al 2015; Healy et al 2014,,,
Macaca_mulatta,Mammalia,Rhesus Monkey,40,6614,0.001952024,herbivore,terrestrial,semiarboreal,viviparous,yes,arboreal,1,1,473.54,yes,no,"Fi represents the annual contribution of young adult and adult females to female infants, or fertility. However infants are below 1 year old",Myhrvold et al 2015; Healy et al 2014,,,
Maccullochella_peelii,Actinopterygii,Murray cod ,48,2594.72,,carnivore,freshwater,river,oviparous,yes,fw_river,,,0.01,yes,yes,Age classes from eggs to juvenile occur within a single time step and are not influenced by the population carrying capacity which is enacted with individuals entering at the age 1 life stage,fishbase,mean egg mass from Gunasekera et al 1998,,
Macquaria_ambigua,Actinopterygii,Golden perch ,20,3821.53,,carnivore,freshwater,river,oviparous,no,fw_river,,,0.03,yes,yes,Age classes from eggs to juvenile occur within a single time step and are not influenced by the population carrying capacity which is enacted with individuals entering at the age 1 life stage,fishbase,egg mass from eggs of diameter 3.9mm (Lake 1967) and density of 1.0205 g/cm3 from Pacariz et al 2013,,
Macropus_eugenii,Mammalia,Tammar wallaby,15.1,5037.24,,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1.005,1,0.4345,,,not_there,Myhrvold et al 2015,,,
Malaclemys_terrapin,Reptilia,Diamondback terrapin,14.1,803,,carnivore,freshwater,benthic,oviparous,no,fw_benthic,8.5,1.5,8.36,yes,yes,"Fertility was calculated by multiplying mean clutch size, mean clutch frequency and the annual egg survival rate together.",Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,,
Marmota_flaviventris,Mammalia,Yellow-bellied Marmot,21.2,3709.73,0.002008617,herbivore,terrestrial,semifossorial,viviparous,yes,semifossorial,4.44,0.97,33.8,yes,yes,Litter size was estimated as the number of weaned female young that emerged from the natal burrows,Myhrvold et al 2015; Healy et al 2014,,,
Martes_pennanti,Mammalia,Fisher,14.3,3175,,carnivore,terrestrial,terrestrial,viviparous,yes,terrestrial,2.92,1,34.78,,,,,,,
Milvus_migrans,Aves,Black Kite,24,828.5,,carnivore-scavanger,terrestrial,terrestrial,oviparous,yes,volant,2.5,1,56,yes,yes,"number of fledged young per breeding attempt, denoted F",Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Mirounga_leonina,Mammalia,Southern Elephant Seal,23,1.40E+06,,carnivore,marine,mesopelagic,viviparous,yes,m_pelagic,1,0.98,39655.93,yes,no,Fecundity (ó) is defined as the number of female offspring produced per female in the interval t to t + 1 and  n is the maximum age of female seals.,Myhrvold et al 2015; Healy et al 2014,,,
Mustela_erminea,Mammalia,Ermine,12.5,110.33,0.008253968,carnivore,terrestrial,semifossorial,viviparous,yes,semifossorial,6.755,1,2.3,,,,Myhrvold et al 2015; Healy et al 2014,,,
Mya_arenaria,Bivalvia,Soft sheel clam,28,74,,filter-feeding,marine,benthic,oviparous,no,sessile,,,0.0000003,,,,"Lynch et al 2012 max from MacDonald & Thomas, 1980",agg mass from 38um (Appeldoorn 1995) and a conversion of 0.973 for Kindsvater et al 2016 see Anderson 1978 for metabolism,,
Nuttallia_obscurata,Bivalvia,purple mahogany clam,24,9.542072,,filter-feeding,marine,benthic,oviparous,no,sessile,,,0.0000002,,,,mass calculated using allometry for total wieght with shell length 43.7mm Kolpakov and Kolpakov 2005,egg mass from 38um (Dudas and Dower 2006) and a conversion of 0.973 for Kindsvater et al 2016 ,,
Odocoileus_virginianus,Mammalia,White-tailed Deer,23,65320,0.001394455,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1.71,1,3000,,,,Myhrvold et al 2015; Healy et al 2014,,,
Oncorhynchus_tshawytscha,Actinopterygii,Chinook_salmon,9,4600,,omnivore,marine-freshwater,benthopelagic,oviparous,no,m_pelagic,,,0.212,,,,fishbase Anage,egg mass avarged from Table 1 in Beacham and Murray 1993,246.6 respiration met at at 20C (mg/kg/h) for a 26g indavidual,
Onychogalea_fraenata,Mammalia,Bridled Nail-tail Wallaby,7.4,5226.025,,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,1.89,1566.44,,,,Myhrvold et al 2015; Healy et al 2014,this is the weaned wiegth,,
Ovis_canadensis,Mammalia,Bighorn Sheep,24,69125,0.002007991,herbivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1.03,1,4333.335,,,,Myhrvold et al 2015; Healy et al 2014,,,
Pan_troglodytes,Mammalia,Common Chimpanzee,74,44983.5,0.001494838,omnivore,terrestrial,semiarboreal,viviparous,yes,arboreal,1.075,0.2,1745.02,,,,Myhrvold et al 2015; Healy et al 2014,,,
Panthera_pardus,Mammalia,Leopard,27.3,53074.995,,carnivore,terrestrial,terrestrial,viviparous,yes,terrestrial,2.14,1,550,,,,Myhrvold et al 2015; Healy et al 2014,,,
Papio_cynocephalus,Mammalia,Yellow Baboon,45,17851.25,,omnivore,terrestrial,terrestrial,viviparous,yes,terrestrial,1,0.805,319.48,,,,Myhrvold et al 2015; Nowak 1999,?,,
Paramuricea_clavata,Anthozoa,Violescent sea-whip,,3255,,filter-feeding; autotrophic,marine,benthic,oviparous,no,sessile,,,0.0004,,,,assuming a smax size of 1 meter high and wide and 5cm thick using 2.17g per cm from Herler amd Dirnwober 2011,egg mass from eggs of diameter 0.45mm (Coma  et al1995) and density of 1.0205 g/cm3 from Pacariz et al 2013,,
Passer_domesticus,Aves,House Sparrow,23,27.7,,omnivore,terrestrial,terrestrial,oviparous,yes,volant,4.35,3.25,2.8,,,,Myhrvold et al 2015,,,
Pernis_apivorus,Aves,European Honey Buzzard,29,762.5,0.003626196,insectivore,terrestrial,terrestrial,oviparous,yes,volant,2,1,49,,,,"Myhrvold et al 2015; Handbook of birds of the world,Healy et al 2014",,,
Phacochoerus_aethiopicus,Mammalia,Desert Warthog,18.8,73303.76,,omnivore,terrestrial,terrestrial,viviparous,yes,terrestrial,3.365,1.305,682.365,,,,Myhrvold et al 2015,,,
Phalacrocorax_auritus,Aves,Double-crested Cormorant,22.5,1876.5,0.004129323,carnivore,marine,pelagic,oviparous,yes,volant,3.5,1,48,,,,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Phocarctos_hookeri,Mammalia,New Zealand Sealion,23,273499.99,,carnivore,marine,pelagic,viviparous,yes,m_pelagic,1,1.05,7000,,,,Myhrvold et al 2015,,,
Phoebastria_immutabilis,Aves,Laysan Albatross,60,3050,,carnivore-scavanger,marine,pelagic,oviparous,yes,volant,1,0.90037594,167.2,,,,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Phrynosoma_cornutum,Reptilia,Texas Horned Lizard,,27.335,,carnivore,terrestrial,terrestrial,oviparous,no,terrestrial,21.3,1.5,0.37,,,,Whitford and Bryant 1979; Myhrvold et al 2015,haching weight,,
Physeter_macrocephalus,Mammalia,Sperm Whale,100,1.01E+07,,carnivore,marine,pelagic,viviparous,yes,m_pelagic,1,0.23,774000,,,,Myhrvold et al 2015,,,
Picoides_borealis,Aves,Red-cockaded Woodpecker,16.1,48,,insectivore,terrestrial,arboreal,oviparous,yes,volant,3.26,1,4.3,,,,Myhrvold et al 2015; Handbook of birds of the world; Healy et al 2014,,,
Podocnemis_expansa,Reptilia,"Arrau River Turtle, South American River Turtle",50,25800,,herbivore,freshwater,benthic,oviparous,no,fw_benthic,91.5,1,37.2,,,,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015,,,
