"species","taxa_name","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","mass_g","parental_care","repo_type","mobility","trophic_level","habitat_ecology","habitat","min_max","met_type","animal","met_type.1"
"Macaca_mulatta","Mammalia",28.44624829375,4,0.2435,0.195860009670957,16.1672660424201,31.3125,5,91,211,0.707400489989838,0.0666364758311212,0.0214664191105641,6614,"yes","viviparous","arboreal","herbivore","semiarboreal","terrestrial",211,"endo","Macaca_mulatta","endo"
"Macaca_mulatta","Mammalia",6.98975665983696,3,0.2044185,0.175605361116585,9.88420103717868,7.54031969433682,6,22,49,0.679702546975037,0.0336560575108876,0.0230825167974692,6614,"yes","viviparous","arboreal","herbivore","semiarboreal","terrestrial",49,"endo","Macaca_mulatta","endo"
"Macaca_mulatta","Mammalia",17.58875295,4,0.267,0.188846506643615,13.4162573582987,18.0727272727273,5,54,123,0.709430711842193,0.059464066869758,0.0203241299821961,6614,"yes","viviparous","arboreal","herbivore","semiarboreal","terrestrial",123,"endo","Macaca_mulatta","endo"
"Macropus_eugenii","Mammalia",2.87366548042705,1,0.237777777777778,0.27392848161523,4.67472127102556,2.87366548042705,2,9,20,0.731266341207573,0.0353728803078925,0.0250220016204764,5037.24,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",20,"endo","Macropus_eugenii","endo"
"Macropus_eugenii","Mammalia",3.11764705882353,1,0.301666666666667,0.330929522997816,4.76361696187228,3.11764705882353,2,10,22,0.726348316696725,0.0442999574202064,0.0252302342380694,5037.24,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",22,"endo","Macropus_eugenii","endo"
"Macropus_eugenii","Mammalia",2.82258064516129,1,0.156666666666667,0.21438275597233,4.92410859765402,2.82258064516129,2,9,20,0.729068516082971,0.0284638426798331,0.0254941557082805,5037.24,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",20,"endo","Macropus_eugenii","endo"
"Macropus_eugenii","Mammalia",2.71844660194175,1,0.255,0.280249644198457,4.44352586547846,2.71844660194175,2,8,18,0.73341488517486,0.0341198097303815,0.0242830183621547,5037.24,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",18,"endo","Macropus_eugenii","endo"
"Marmota_flaviventris","Mammalia",2.2483202632506,2,0.642839051388889,0.330472880984389,4.21014597181595,2.28997067324119,10,7,11,0.55556902889093,0.0350409940064683,0.0212782947154985,3709.73,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",11,"endo","Marmota_flaviventris","endo"
"Marmota_flaviventris","Mammalia",2.29251650556936,2,0.52754548,0.347358256952725,5.0170598405915,2.37104610056291,4,7,17,0.619339070111638,0.029193015519514,0.0274134623006772,3709.73,"yes","viviparous","semifossorial","herbivore","semifossorial","terrestrial",17,"endo","Marmota_flaviventris","endo"
"Mirounga_leonina","Mammalia",5.42248050314466,6.00000000000001,0.4,0.166409405775094,11.585851179713,6.28930817610063,6,17,40,0.714626370166146,0.0275264980219961,0.023613686422142,1400000,"yes","viviparous","m_pelagic","carnivore","mesopelagic","marine",40,"endo","Mirounga_leonina","endo"
"Mustela_erminea","Mammalia",1.5198,1,1.11368333333333,0.933032018031277,5.80276951290937,1.5198,3,5,10,0.689962904931127,0.0457842685882323,0.02457707866401,110.33,"yes","viviparous","semifossorial","carnivore","semifossorial","terrestrial",10,"endo","Mustela_erminea","endo"
"Odocoileus_virginianus","Mammalia",1.34209677419355,2,0.512505,0.330861622392787,7.09473690630673,3.25806451612903,3,4,16,0.605598589298356,0.00980787329192091,0.0343395713271092,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",16,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",1.69012060301508,2,0.6296875,0.383469311501433,7.66764380001159,4.89447236180905,3,7,25,0.638185058262025,0.0190184138513187,0.0420079545990619,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",25,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",2.30006849315068,2,0.74458,0.440602244444948,7.94367739151512,7.02739726027397,3,11,36,0.648165240865364,0.0326684947977192,0.0477933168350053,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",36,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",1.51391959798995,2,0.512505,0.345035862984404,8.87710449311051,4.89447236180905,3,6,23,0.604652994633151,0.0119133324381164,0.0409551826636531,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",23,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",1.81179289940828,2,0.6296875,0.388499187058371,8.48885427141295,5.75739644970414,3,8,29,0.629126369400587,0.0196514007248652,0.0444964192346419,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",29,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",2.2936690647482,2,0.74458,0.44045678051022,8.25079204426389,6.99280575539568,3,11,37,0.640400263331195,0.031039067675221,0.0485154669335165,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",37,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",1.69012060301508,2,0.512505,0.347072084179806,8.13691976977493,4.89447236180905,3,7,25,0.632053362718921,0.0157166775861537,0.0420079545990619,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",25,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",2.36450295857988,2,0.6296875,0.396228377395104,7.23239477499763,5.75739644970414,3,11,32,0.660210092900586,0.032251454222229,0.0431134977095983,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",32,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",3.20088571428571,2,0.74458,0.452676506144826,6.94688983042818,6.94285714285714,3,15,40,0.667079432941676,0.0520164865793775,0.0432486202881219,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",40,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",1.69012060301508,2,0.512505,0.347072084179806,8.13691976977493,4.89447236180905,3,7,25,0.632053362718921,0.0157166775861537,0.0420079545990619,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",25,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",2.63378723404255,2,0.6296875,0.400374584679232,7.97994718879541,6.89361702127659,3,13,38,0.653645531508997,0.0332126362674094,0.0463325737313345,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",38,"endo","Odocoileus_virginianus","endo"
"Odocoileus_virginianus","Mammalia",4.70469879518072,2,0.74458,0.461553570934879,8.81204187150137,11.6867469879518,3,23,69,0.667034772645794,0.0545668052210157,0.053934066484643,65320,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",69,"endo","Odocoileus_virginianus","endo"
"Onychogalea_fraenata","Mammalia",4.48471,4,3.1,0.504212066955922,6.48552091466793,5,4,13,31,0.713178376786127,0.22803781173628,0.024087059059743,5226.025,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",31,"endo","Onychogalea_fraenata","endo"
"Ovis_canadensis","Mammalia",3.28177309361438,3,0.11875,0.147231085937888,10.1412765223629,4.95970241785493,5,12,30,0.656479230244856,0.0109901336371872,0.0328058412815761,69125,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",30,"endo","Ovis_canadensis","endo"
"Ovis_canadensis","Mammalia",3.52197802197802,3,0.0893333333333333,0.121409483204226,11.3236457482629,5.49450549450549,5,13,33,0.656337921566939,0.0090188789280166,0.0346094545345005,69125,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",33,"endo","Ovis_canadensis","endo"
"Ovis_canadensis","Mammalia",3.11467889908257,3,0.064,0.0930262721064358,11.0077949516022,4.58715596330275,5,11,27,0.645828169505754,0.00555595940301949,0.0318216491160927,69125,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",27,"endo","Ovis_canadensis","endo"
"Ovis_canadensis","Mammalia",4.56640625,3,0.106666666666667,0.141833167842493,12.9566875502784,7.8125,5,19,47,0.662254779297072,0.0135275202954686,0.0395914133543841,69125,"yes","viviparous","terrestrial","herbivore","terrestrial","terrestrial",47,"endo","Ovis_canadensis","endo"
