species,taxa_name,mean_life_expect,life_time_La,mean_repo_rate,gen_time,H_entropy,S_entropy,M_rep_lif_exp,matrix_size,surv_95,surv_99,gini,first_stage,lambda_pop,mass_g,parental_care,repo_type,mobility,trophic_level,habitat_ecology,habitat,min_max,met_type,FMR_mass_grams,FMR_kJ_day,FMR_kJ_day_g,met_rate_Wg,iucn_statues,iucn_pop,animal,met_notes,,,
Centrocercus_minimus,Aves,1.697,3,0.232145718,5.478358522,1.295502425,1.524033156,2.5,4,6,9,0.611844224,Chick,0.71387521,1650,yes,oviparous,volant,omnivore,terrestrial,terrestrial,9,endo,,,,,E,decreasing,Centrocercus_minimus,,,,
Cercopithecus_mitis,Mammalia,19.6419183,8,0.0841144,21.45230122,0.902491233,3.777182162,17.65897656,9,55,82,0.603406841,0 yrs,1.036082012,6116.5,yes,viviparous,arboreal,omnivore,arboreal,terrestrial,82,endo,,,,0.002228774,LC,decreasing,Cercopithecus_mitis,"Trevor S. Fristoe, Joseph R. Burger, Meghan A. Balk, Imran Khaliq, Christian Hof and James H. Brown",,,
Cervus_elaphus,Mammalia,10.33984397,3,0.145576821,8.015002287,0.467342834,2.508123613,9.724110396,19,18,19,0.455430693,1 yr,1.06530507,160166.665,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,19,endo,107500,25224,0.23464186,0.001561782,LC,increasing,Cervus_elaphus,Genoud et al Comparative analyses of basal rate of metabolism in mammals: data selection does matter,,,
Cervus_elaphus,Mammalia,2.013645025,2,0.399330557,8.002850115,1.824826616,2.54155596,6.218681137,16,10,18,0.453740789,Calves,0.950828258,160166.665,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,18,endo,107500,25224,0.23464186,0.001561782,LC,increasing,Cervus_elaphus,Genoud et al Comparative analyses of basal rate of metabolism in mammals: data selection does matter,,,
Cervus_elaphus,Mammalia,2.305067911,2,0.387208686,8.243819469,1.83253591,2.610239987,7.05442114,16,12,19,0.442959887,Calves,0.976364141,160166.665,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,19,endo,107500,25224,0.23464186,0.001561782,LC,increasing,Cervus_elaphus,Genoud et al Comparative analyses of basal rate of metabolism in mammals: data selection does matter,,,
Cervus_elaphus,Mammalia,3.817487065,2,0.284574818,7.636469443,1.539339659,2.659691668,7.959003009,16,17,22,0.497429999,Calves,1.014607488,160166.665,yes,viviparous,terrestrial,herbivore,terrestrial,terrestrial,22,endo,107500,25224,0.23464186,0.001561782,LC,increasing,Cervus_elaphus,Genoud et al Comparative analyses of basal rate of metabolism in mammals: data selection does matter,,,
Chelodina_expansa,Reptilia,1.153856913,7.524861878,0.739128946,26.68079814,1.077147618,1.552075643,12.65822785,3,2,7,0.413696567,Egg / Hatchling,0.950555975,4744,no,oviparous,fw_benthic,carnivore,semiaquatic,freshwater,7,ecto,,,,,NA,NA,Chelodina_expansa,,,,
Chelodina_expansa,Reptilia,2.293796769,7.524861878,0.542697082,16.07361829,1.930685783,3.014404566,12.65822785,3,10,23,0.206322251,Egg / Hatchling,1.04948671,4744,no,oviparous,fw_benthic,carnivore,semiaquatic,freshwater,23,ecto,,,,,NA,NA,Chelodina_expansa,,,,
Chelydra_serpentina,Reptilia,1.270404341,11.70758463,0.723635931,57.88055346,1.319787461,1.380010023,27.74379006,7,3,9,0.646341088,First-year turtles,0.974680127,5170,no,oviparous,fw_benthic,carnivore,semiaquatic,freshwater,9,ecto,,,,0.000289444,LC,stable,Chelydra_serpentina,Litzgus_et al 2003,,,
Chen_caerulescens,Aves,5.617977528,2,0.278008787,6.744526048,1.111308709,2.711357853,5.617977528,5,17,25,0.546106702,1 year,1.100008787,2630.75,yes,viviparous,volant,herbivore,terrestrial,terrestrial,25,endo,,,,0.002645051,LC,increasing,Chen_caerulescens,from mcNAb its 27.9 kj/h for a 2930g,,,
Chrysemys_picta,Reptilia,3.632286074,7,0.095090785,8.406164491,1.101446006,1.338797492,3.228284518,36,12,13,0.918419166,0 years,0.792435374,371.8,no,oviparous,fw_benthic,omnivore,benthic,freshwater,36,ecto,,,,0.000243137,LC,stable,Chrysemys_picta,Litzgus_et al 2003,,,
Ciconia_ciconia,Aves,3.429683488,2,0.740924462,4.801993776,1.568587455,2.609372175,5.986507461,2,14,23,0.557849705,Juvenile,1.337240153,3350,yes,oviparous,volant,carnivore_scavanger,terrestrial,terrestrial,23,endo,,,,,LC,increasing,Ciconia_ciconia,,,,
Clemmys_guttata,Reptilia,4.357072484,6.926108374,0.285784321,27.76723379,1.900550549,3.757661432,28.57142857,3,16,47,0.210517261,Egg / Hatchling,1.023812388,165.4,no,oviparous,fw_benthic,omnivore,benthic,freshwater,47,ecto,,,,,E,decreasing,Clemmys_guttata,,,,
Coragyps_atratus,Aves,10.03574568,5,0.215727014,11.39994652,1.098142868,3.239721331,10.63829787,5,31,47,0.595201683,1 yr,1.111443898,2080.5,yes,viviparous,volant,scavanger,terrestrial,terrestrial,47,endo,,,,,LC,increasing,Coragyps_atratus,,,,
Coragyps_atratus,Aves,9.728716417,8,0.162582574,15.56118266,1.121277026,3.21881502,10.63829787,8,31,47,0.602046881,1 yr,1.056590586,2080.5,yes,viviparous,volant,scavanger,terrestrial,terrestrial,47,endo,,,,,LC,increasing,Coragyps_atratus,,,,
Crocodylus_johnsoni,Reptilia,2.304204539,8.954306477,0.45287814,17.07032338,2.052629354,3.013776561,9.414602049,5,12,25,0.302413062,Hatchling,1.007514216,19500,yes,oviparous,semiaquatic,carnivore,benthic,freshwater,25,ecto,,,0.0261,0.000138488,LC,stable,Crocodylus_johnsoni,Christian et al 1996,,,
Crocodylus_johnsoni,Reptilia,3.086252736,10.52859209,0.423071831,18.97704041,2.139544042,3.3668294,10.42685505,5,17,34,0.27152655,Hatchling,1.038032102,19500,yes,oviparous,semiaquatic,carnivore,benthic,freshwater,34,ecto,,,0.0261,0.000138488,LC,stable,Crocodylus_johnsoni,SMR from biggest 3 indaviduals in Gienger,,,
Crocodylus_johnsoni,Reptilia,1.860111348,8.379476269,0.408645666,17.60350239,1.92070012,2.688406296,8.829400491,5,8,19,0.324199949,Hatchling,0.951630835,19500,yes,oviparous,semiaquatic,carnivore,benthic,freshwater,19,ecto,,,0.0261,0.000138488,LC,stable,Crocodylus_johnsoni,SMR from biggest 3 indaviduals in Gienger,,,
Cryptophis_nigrescens,Reptilia,2.19140625,3,0.623581305,5.378963177,1.52640849,2.087709312,3.90625,3,9,14,0.564166045,Age 1,1.124037767,1465.5,no,viviparous,terrestrial,carnivore,terrestrial,terrestrial,14,ecto,,,,,NA,NA,Cryptophis_nigrescens,,,,
